bpgs_1.fits 	9-SGR 	O5
bpgs_146.fits 	M67-T626 	 
bpgs_147.fits 	HD127227 	K5III
bpgs_148.fits 	M67-IV-202 	 
bpgs_149.fits 	HD50778 	K4III
bpgs_150.fits 	HD62721 	K5III
bpgs_151.fits 	HD116870 	M0III
bpgs_152.fits 	HD60522 	M0III
bpgs_153.fits 	BD-01D3113 	K5III
bpgs_154.fits 	BD+02D2884 	K5III
bpgs_155.fits 	BD-02D3873 	M0III
bpgs_156.fits 	HD104216 	M2III
bpgs_157.fits 	HD142804 	M1III
bpgs_158.fits 	HD30959 	M3III
bpgs_159.fits 	HD151658 	M2III
bpgs_160.fits 	BD-02D4025 	M2III
bpgs_161.fits 	BD-01D3097 	M2III
bpgs_162.fits 	TX-DRA 	 
bpgs_163.fits 	Z-CYG 	M8III
bpgs_164.fits 	BD+01D3133 	M5III
bpgs_165.fits 	BD-02D3886 	M5III
bpgs_166.fits 	W-HER 	M6III
bpgs_167.fits 	TY-DRA 	M8
bpgs_168.fits 	SW-VIR 	M7III
bpgs_169.fits 	RZ-HER 	M6III
bpgs_170.fits 	R-LEO 	 
bpgs_171.fits 	AW-CYG 	N
bpgs_172.fits 	WZ-CAS 	N
bpgs_173.fits 	69-CYG 	B0IB
bpgs_174.fits 	HR7699 	B5IB
bpgs_175.fits 	HR8020 	B8IA
