File,Type,Teff,Name
bpgs_132.fits,K3III,unknown,HD154759
bpgs_133.fits,K3III,unknown,20-CYG
bpgs_134.fits,K2III,unknown,ALPH-SER
bpgs_135.fits,K2III,unknown,MU-LEO
bpgs_136.fits,K0III,unknown,BD+01D3131
bpgs_137.fits,unknown,unknown,M67-F170
bpgs_138.fits,K2IIIP,unknown,18-LIB-A
bpgs_139.fits,K1IV,unknown,BD+28D2165
bpgs_140.fits,unknown,unknown,NGC188-1_69
bpgs_141.fits,K3III,unknown,BD+30D2344
bpgs_142.fits,K3III,unknown,HD83618
bpgs_143.fits,K3III,unknown,HD158885
bpgs_144.fits,K5III,unknown,HD166780
bpgs_145.fits,K4III,unknown,HD148513
bpgs_146.fits,unknown,unknown,M67-T626
bpgs_147.fits,K5III,unknown,HD127227
bpgs_148.fits,unknown,unknown,M67-IV-202
bpgs_149.fits,K4III,unknown,HD50778
bpgs_150.fits,K5III,unknown,HD62721
bpgs_151.fits,M0III,unknown,HD116870
bpgs_152.fits,M0III,unknown,HD60522
bpgs_153.fits,K5III,unknown,BD-01D3113
bpgs_154.fits,K5III,unknown,BD+02D2884
bpgs_155.fits,M0III,unknown,BD-02D3873
bpgs_156.fits,M2III,unknown,HD104216
bpgs_157.fits,M1III,unknown,HD142804
bpgs_158.fits,M3III,unknown,HD30959
bpgs_159.fits,M2III,unknown,HD151658
bpgs_160.fits,M2III,unknown,BD-02D4025
bpgs_161.fits,M2III,unknown,BD-01D3097
bpgs_162.fits,unknown,unknown,TX-DRA
bpgs_163.fits,M8III,unknown,Z-CYG
bpgs_164.fits,M5III,unknown,BD+01D3133
bpgs_165.fits,M5III,unknown,BD-02D3886
bpgs_166.fits,M6III,unknown,W-HER
bpgs_167.fits,M8,unknown,TY-DRA
bpgs_168.fits,M7III,unknown,SW-VIR
bpgs_169.fits,M6III,unknown,RZ-HER
bpgs_170.fits,unknown,unknown,R-LEO
bpgs_171.fits,N,unknown,AW-CYG
bpgs_172.fits,N,unknown,WZ-CAS
bpgs_173.fits,B0IB,unknown,69-CYG
bpgs_174.fits,B5IB,unknown,HR7699
bpgs_175.fits,B8IA,unknown,HR8020
